provincia,girasol,maiz,soja,trigo,total
Buenos Aires,21017515,147457994,150001942,80466697,398944148
Córdoba,1918444,174153637,132229539,29459946,337761566
Santa Fe,4508351,55856263,88494561,31460637,180319812
Santiago del Estero,767652,40705573,30226158,6513188,78212571
Entre Ríos,203079,20878342,24632120,15734407,61447948
La Pampa,4631612,24836375,13051637,6350004,48869628
Chaco,4339385,10644880,10805535,1563853,27353653
Salta,8862,17423137,8568315,937833,26938147
San Luis,823990,18457003,5908027,364223,25553243
Tucumán,1748,4124778,4555093,923998,9605617
Catamarca,711,850679,1043115,280460,2174965
Formosa,47638,1024798,342740,15632,1430808
Misiones,0,964861,94919,0,1059780
Corrientes,7418,496289,201107,47756,752570
Jujuy,0,285294,188229,59996,533519
