cultivo,anio,campania,provincia,departamento,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_tn_ha,tasa_cosecha
girasol,2015,2015/2016,Chaco,Libertador General San Martín,295,295,502,1.702,1.0
girasol,2015,2015/2016,Santa Fe,San Cristóbal,15000,15000,33000,2.2,1.0
girasol,2015,2015/2016,Buenos Aires,Carlos Casares,9850,9850,23640,2.4,1.0
girasol,2015,2015/2016,Santa Fe,General López,450,450,1260,2.8,1.0
girasol,2015,2015/2016,Santa Fe,San Javier,4000,4000,5600,1.4,1.0
girasol,2015,2015/2016,Buenos Aires,Cañuelas,769,769,2076,2.7,1.0
girasol,2015,2015/2016,Buenos Aires,Campana,100,100,270,2.7,1.0
girasol,2015,2015/2016,Buenos Aires,Brandsen,641,641,1666,2.599,1.0
girasol,2015,2015/2016,Buenos Aires,Arrecifes,50,50,140,2.8,1.0
girasol,2015,2015/2016,Buenos Aires,25 de Mayo,2000,2000,5400,2.7,1.0
girasol,2015,2015/2016,Buenos Aires,Alberti,500,500,1250,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,Adolfo Alsina,52000,52000,109200,2.1,1.0
girasol,2015,2015/2016,Buenos Aires,9 de Julio,2000,2000,5000,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,Bahía Blanca,390,390,351,0.9,1.0
girasol,2015,2015/2016,Buenos Aires,Bragado,500,500,1250,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,Azul,13500,13100,30130,2.3,0.97
girasol,2015,2015/2016,Buenos Aires,Ayacucho,17000,17000,39100,2.3,1.0
girasol,2015,2015/2016,Buenos Aires,Balcarce,42000,40800,102000,2.5,0.971
girasol,2015,2015/2016,Buenos Aires,Bolívar,5000,5000,15000,3.0,1.0
girasol,2015,2015/2016,Buenos Aires,Benito Juárez,12000,11650,25630,2.2,0.971
girasol,2015,2015/2016,Buenos Aires,Baradero,100,100,290,2.9,1.0
girasol,2015,2015/2016,Buenos Aires,Carlos Tejedor,14140,14140,32520,2.3,1.0
girasol,2015,2015/2016,Buenos Aires,Coronel Suárez,43000,42500,93500,2.2,0.988
girasol,2015,2015/2016,Buenos Aires,Guaminí,33000,33000,75900,2.3,1.0
girasol,2015,2015/2016,Santa Fe,Las Colonias,3500,3500,8050,2.3,1.0
girasol,2015,2015/2016,Buenos Aires,Salto,50,50,145,2.9,1.0
girasol,2015,2015/2016,Buenos Aires,Chascomús,1367,1367,3690,2.699,1.0
girasol,2015,2015/2016,Buenos Aires,Chacabuco,100,100,210,2.1,1.0
girasol,2015,2015/2016,Buenos Aires,Carmen de Areco,200,200,440,2.2,1.0
girasol,2015,2015/2016,Buenos Aires,Castelli,1850,1850,4100,2.216,1.0
girasol,2015,2015/2016,Buenos Aires,Coronel Pringles,14000,14000,25000,1.786,1.0
girasol,2015,2015/2016,Buenos Aires,Chivilcoy,400,400,1000,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,Coronel Dorrego,10400,10400,15500,1.49,1.0
girasol,2015,2015/2016,Buenos Aires,Coronel de Marina Leonardo Rosales,500,500,500,1.0,1.0
girasol,2015,2015/2016,Buenos Aires,Colón,50,50,150,3.0,1.0
girasol,2015,2015/2016,Santa Fe,Castellanos,2000,2000,4600,2.3,1.0
girasol,2015,2015/2016,Buenos Aires,General Belgrano,800,800,2160,2.7,1.0
girasol,2015,2015/2016,Buenos Aires,Daireaux,15000,15000,45000,3.0,1.0
girasol,2015,2015/2016,Buenos Aires,General Villegas,3100,3100,6510,2.1,1.0
girasol,2015,2015/2016,Buenos Aires,General Arenales,200,200,440,2.2,1.0
girasol,2015,2015/2016,Buenos Aires,Florentino Ameghino,1200,1200,2880,2.4,1.0
girasol,2015,2015/2016,Buenos Aires,Exaltación de la Cruz,50,50,135,2.7,1.0
girasol,2015,2015/2016,Buenos Aires,General Alvear,1000,1000,3000,3.0,1.0
girasol,2015,2015/2016,Buenos Aires,General Alvarado,26500,25700,69390,2.7,0.97
girasol,2015,2015/2016,Buenos Aires,General Las Heras,171,171,478,2.795,1.0
girasol,2015,2015/2016,Buenos Aires,General La Madrid,29000,28700,60270,2.1,0.99
girasol,2015,2015/2016,Buenos Aires,General Guido,850,850,1700,2.0,1.0
girasol,2015,2015/2016,Buenos Aires,General Juan Madariaga,8500,8500,24650,2.9,1.0
girasol,2015,2015/2016,Buenos Aires,General Viamonte,1000,1000,2300,2.3,1.0
girasol,2015,2015/2016,Buenos Aires,General Lavalle,200,200,480,2.4,1.0
girasol,2015,2015/2016,Buenos Aires,General Pueyrredón,11000,10700,27820,2.6,0.973
girasol,2015,2015/2016,Buenos Aires,General Pinto,900,900,2250,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,General Paz,299,299,777,2.599,1.0
girasol,2015,2015/2016,Buenos Aires,Salliqueló,12000,12000,26400,2.2,1.0
girasol,2015,2015/2016,Buenos Aires,Navarro,1500,1500,3900,2.6,1.0
girasol,2015,2015/2016,Buenos Aires,Hipólito Yrigoyen,2500,2500,7500,3.0,1.0
girasol,2015,2015/2016,Buenos Aires,Leandro N. Alem,600,600,1560,2.6,1.0
girasol,2015,2015/2016,Buenos Aires,Las Flores,4500,4500,12600,2.8,1.0
girasol,2015,2015/2016,Buenos Aires,Laprida,5800,5800,11100,1.914,1.0
girasol,2015,2015/2016,Buenos Aires,Junín,200,200,420,2.1,1.0
girasol,2015,2015/2016,Buenos Aires,Luján,598,598,1674,2.799,1.0
girasol,2015,2015/2016,Buenos Aires,Lobos,1500,1500,3900,2.6,1.0
girasol,2015,2015/2016,Buenos Aires,Lincoln,2800,2800,7840,2.8,1.0
girasol,2015,2015/2016,Buenos Aires,Lobería,45000,43700,96140,2.2,0.971
girasol,2015,2015/2016,Buenos Aires,Monte,1000,1000,2500,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,Maipú,6600,6600,19800,3.0,1.0
girasol,2015,2015/2016,Buenos Aires,Mercedes,200,200,500,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,Marcos Paz,171,171,461,2.696,1.0
girasol,2015,2015/2016,Buenos Aires,Mar Chiquita,11200,11200,28000,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,Saladillo,1500,1500,3900,2.6,1.0
girasol,2015,2015/2016,Buenos Aires,Pila,2500,2500,5750,2.3,1.0
girasol,2015,2015/2016,Buenos Aires,Necochea,33900,33900,81360,2.4,1.0
girasol,2015,2015/2016,Buenos Aires,Pergamino,100,100,290,2.9,1.0
girasol,2015,2015/2016,Buenos Aires,Patagones,1200,1200,2520,2.1,1.0
girasol,2015,2015/2016,Buenos Aires,Olavarría,10000,10000,28000,2.8,1.0
girasol,2015,2015/2016,Buenos Aires,Pellegrini,30000,30000,66000,2.2,1.0
girasol,2015,2015/2016,Buenos Aires,Pehuajó,7780,7780,18650,2.397,1.0
girasol,2015,2015/2016,Buenos Aires,Ramallo,100,100,280,2.8,1.0
girasol,2015,2015/2016,Buenos Aires,Saavedra,20000,19700,45310,2.3,0.985
girasol,2015,2015/2016,Buenos Aires,Puán,15000,14800,34040,2.3,0.987
girasol,2015,2015/2016,Buenos Aires,Pilar,85,85,239,2.812,1.0
girasol,2015,2015/2016,Buenos Aires,Rauch,7500,7500,16500,2.2,1.0
girasol,2015,2015/2016,Buenos Aires,Roque Pérez,1300,1300,3510,2.7,1.0
girasol,2015,2015/2016,Buenos Aires,Rojas,200,200,440,2.2,1.0
girasol,2015,2015/2016,Buenos Aires,Rivadavia,7730,5730,14350,2.504,0.741
girasol,2015,2015/2016,Buenos Aires,San Cayetano,17500,17500,40250,2.3,1.0
girasol,2015,2015/2016,Buenos Aires,Tres Lomas,18000,18000,41400,2.3,1.0
girasol,2015,2015/2016,Chaco,Quitilipi,5450,5450,8999,1.651,1.0
girasol,2015,2015/2016,Buenos Aires,San Andrés de Giles,1100,1100,2420,2.2,1.0
girasol,2015,2015/2016,Buenos Aires,San Antonio de Areco,150,150,420,2.8,1.0
girasol,2015,2015/2016,Santa Fe,9 de Julio,9000,9000,21600,2.4,1.0
girasol,2015,2015/2016,Buenos Aires,Suipacha,300,300,750,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,Tres Arroyos,29100,29100,72750,2.5,1.0
girasol,2015,2015/2016,Buenos Aires,San Pedro,50,50,140,2.8,1.0
girasol,2015,2015/2016,Buenos Aires,San Nicolás,100,100,290,2.9,1.0
girasol,2015,2015/2016,Buenos Aires,Tandil,32000,31100,77750,2.5,0.972
girasol,2015,2015/2016,Buenos Aires,Trenque Lauquen,28500,28500,68400,2.4,1.0
girasol,2015,2015/2016,Buenos Aires,Tornquist,5000,4800,10560,2.2,0.96
girasol,2015,2015/2016,Buenos Aires,Tapalqué,500,500,1400,2.8,1.0
girasol,2015,2015/2016,Chaco,O'Higgins,27000,26400,40128,1.52,0.978
girasol,2015,2015/2016,Chaco,Almirante Brown,36900,36500,69323,1.899,0.989
girasol,2015,2015/2016,Buenos Aires,Villarino,900,900,1890,2.1,1.0
girasol,2015,2015/2016,Santa Fe,La Capital,3000,3000,7200,2.4,1.0
girasol,2015,2015/2016,Chaco,9 de Julio,24000,23250,39760,1.71,0.969
girasol,2015,2015/2016,Chaco,12 de Octubre,25500,24500,40425,1.65,0.961
girasol,2015,2015/2016,Buenos Aires,Zárate,50,50,135,2.7,1.0
girasol,2015,2015/2016,Chaco,25 de Mayo,980,965,1445,1.497,0.985
girasol,2015,2015/2016,Chaco,2 de Abril,15500,14950,23920,1.6,0.965
girasol,2015,2015/2016,Chaco,Fray Justo Santa María de Oro,18500,17950,28720,1.6,0.97
girasol,2015,2015/2016,Chaco,Mayor Luis J. Fontana,15000,14500,21900,1.51,0.967
girasol,2015,2015/2016,Chaco,Comandante Fernández,27450,27050,47327,1.75,0.985
girasol,2015,2015/2016,Chaco,Chacabuco,30000,29250,49725,1.7,0.975
girasol,2015,2015/2016,Chaco,General Belgrano,10500,10200,18570,1.821,0.971
girasol,2015,2015/2016,Chaco,Maipú,13940,13690,19848,1.45,0.982
girasol,2015,2015/2016,Chaco,Independencia,43310,42610,78829,1.85,0.984
girasol,2015,2015/2016,Chaco,General Güemes,6362,6282,10365,1.65,0.987
