cultivo,anio,campania,provincia,provincia_id,departamento,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
girasol,2015,2015/2016,Chaco,22.0,Libertador General San Martín,22084.0,295,295,502,1702
girasol,2015,2015/2016,Santa Fe,82.0,San Cristóbal,82091.0,15000,15000,33000,2200
girasol,2015,2015/2016,Buenos Aires,6.0,Carlos Casares,6147.0,9850,9850,23640,2400
girasol,2015,2015/2016,Santa Fe,82.0,General López,82042.0,450,450,1260,2800
girasol,2015,2015/2016,Santa Fe,82.0,San Javier,82098.0,4000,4000,5600,1400
girasol,2015,2015/2016,Buenos Aires,6.0,Cañuelas,6134.0,769,769,2076,2700
girasol,2015,2015/2016,Buenos Aires,6.0,Campana,6126.0,100,100,270,2700
girasol,2015,2015/2016,Buenos Aires,6.0,Brandsen,6119.0,641,641,1666,2599
girasol,2015,2015/2016,Buenos Aires,6.0,Arrecifes,6077.0,50,50,140,2800
girasol,2015,2015/2016,Buenos Aires,6.0,25 de Mayo,6854.0,2000,2000,5400,2700
girasol,2015,2015/2016,Buenos Aires,6.0,Alberti,6021.0,500,500,1250,2500
girasol,2015,2015/2016,Buenos Aires,6.0,Adolfo Alsina,6007.0,52000,52000,109200,2100
girasol,2015,2015/2016,Buenos Aires,6.0,9 de Julio,6588.0,2000,2000,5000,2500
girasol,2015,2015/2016,Buenos Aires,6.0,Bahía Blanca,6056.0,390,390,351,900
girasol,2015,2015/2016,Buenos Aires,6.0,Bragado,6112.0,500,500,1250,2500
girasol,2015,2015/2016,Buenos Aires,6.0,Azul,6049.0,13500,13100,30130,2300
girasol,2015,2015/2016,Buenos Aires,6.0,Ayacucho,6042.0,17000,17000,39100,2300
girasol,2015,2015/2016,Buenos Aires,6.0,Balcarce,6063.0,42000,40800,102000,2500
girasol,2015,2015/2016,Buenos Aires,6.0,Bolívar,6105.0,5000,5000,15000,3000
girasol,2015,2015/2016,Buenos Aires,6.0,Benito Juárez,6084.0,12000,11650,25630,2200
girasol,2015,2015/2016,Buenos Aires,6.0,Baradero,6070.0,100,100,290,2900
girasol,2015,2015/2016,Buenos Aires,6.0,Carlos Tejedor,6154.0,14140,14140,32520,2300
girasol,2015,2015/2016,Buenos Aires,6.0,Coronel Suárez,6203.0,43000,42500,93500,2200
girasol,2015,2015/2016,Buenos Aires,6.0,Guaminí,6399.0,33000,33000,75900,2300
girasol,2015,2015/2016,Santa Fe,82.0,Las Colonias,82070.0,3500,3500,8050,2300
girasol,2015,2015/2016,Buenos Aires,6.0,Salto,6714.0,50,50,145,2900
girasol,2015,2015/2016,Buenos Aires,6.0,Chascomús,6217.0,1367,1367,3690,2699
girasol,2015,2015/2016,Buenos Aires,6.0,Chacabuco,6210.0,100,100,210,2100
girasol,2015,2015/2016,Buenos Aires,6.0,Carmen de Areco,6161.0,200,200,440,2200
girasol,2015,2015/2016,Buenos Aires,6.0,Castelli,6168.0,1850,1850,4100,2216
girasol,2015,2015/2016,Buenos Aires,6.0,Coronel Pringles,6196.0,14000,14000,25000,1786
girasol,2015,2015/2016,Buenos Aires,6.0,Chivilcoy,6224.0,400,400,1000,2500
girasol,2015,2015/2016,Buenos Aires,6.0,Coronel Dorrego,6189.0,10400,10400,15500,1490
girasol,2015,2015/2016,Buenos Aires,6.0,Coronel de Marina Leonardo Rosales,6182.0,500,500,500,1000
girasol,2015,2015/2016,Buenos Aires,6.0,Colón,6175.0,50,50,150,3000
girasol,2015,2015/2016,Santa Fe,82.0,Castellanos,82021.0,2000,2000,4600,2300
girasol,2015,2015/2016,Buenos Aires,6.0,General Belgrano,6301.0,800,800,2160,2700
girasol,2015,2015/2016,Buenos Aires,6.0,Daireaux,6231.0,15000,15000,45000,3000
girasol,2015,2015/2016,Buenos Aires,6.0,General Villegas,6392.0,3100,3100,6510,2100
girasol,2015,2015/2016,Buenos Aires,6.0,General Arenales,6294.0,200,200,440,2200
girasol,2015,2015/2016,Buenos Aires,6.0,Florentino Ameghino,6277.0,1200,1200,2880,2400
girasol,2015,2015/2016,Buenos Aires,6.0,Exaltación de la Cruz,6266.0,50,50,135,2700
girasol,2015,2015/2016,Buenos Aires,6.0,General Alvear,6287.0,1000,1000,3000,3000
girasol,2015,2015/2016,Buenos Aires,6.0,General Alvarado,6280.0,26500,25700,69390,2700
girasol,2015,2015/2016,Buenos Aires,6.0,General Las Heras,6329.0,171,171,478,2795
girasol,2015,2015/2016,Buenos Aires,6.0,General La Madrid,6322.0,29000,28700,60270,2100
girasol,2015,2015/2016,Buenos Aires,6.0,General Guido,6308.0,850,850,1700,2000
girasol,2015,2015/2016,Buenos Aires,6.0,General Juan Madariaga,6315.0,8500,8500,24650,2900
girasol,2015,2015/2016,Buenos Aires,6.0,General Viamonte,6385.0,1000,1000,2300,2300
girasol,2015,2015/2016,Buenos Aires,6.0,General Lavalle,6336.0,200,200,480,2400
girasol,2015,2015/2016,Buenos Aires,6.0,General Pueyrredón,6357.0,11000,10700,27820,2600
girasol,2015,2015/2016,Buenos Aires,6.0,General Pinto,6351.0,900,900,2250,2500
girasol,2015,2015/2016,Buenos Aires,6.0,General Paz,6343.0,299,299,777,2599
girasol,2015,2015/2016,Buenos Aires,6.0,Salliqueló,6721.0,12000,12000,26400,2200
girasol,2015,2015/2016,Buenos Aires,6.0,Navarro,6574.0,1500,1500,3900,2600
girasol,2015,2015/2016,Buenos Aires,6.0,Hipólito Yrigoyen,6406.0,2500,2500,7500,3000
girasol,2015,2015/2016,Buenos Aires,6.0,Leandro N. Alem,6462.0,600,600,1560,2600
